Category,Group,Third Doses due at 22 Jun 2022 (n),Third doses overdue (n),Third doses given (n),Third doses given (% of due),Total population
overall,overall,715183,99008,616175,86.2,799470
newly shielded since feb 15,no,425866,42756,383110,90.0,465108
newly shielded since feb 15,yes,289317,56259,233058,80.60000000000001,334362
Sex,F,404362,60305,344057,85.1,453026
Sex,M,310807,38703,272104,87.5,346430
Age band,16-29,47677,12978,34699,72.8,60305
Age band,30-39,100611,23982,76629,76.2,121254
Age band,40-49,141351,24899,116452,82.39999999999999,160580
Age band,50-59,204701,22680,182021,88.9,223146
Age band,60-69,220836,14476,206360,93.4,234178
Ethnicity (broad categories),Black,33467,9674,23793,71.1,44282
Ethnicity (broad categories),Mixed,11109,2492,8617,77.60000000000001,14203
Ethnicity (broad categories),Other,14490,3199,11291,77.9,17787
Ethnicity (broad categories),South Asian,93604,25214,68390,73.1,106400
Ethnicity (broad categories),Unknown,17773,2436,15337,86.3,20552
Ethnicity (broad categories),White,544726,56000,488726,89.7,596225
Index of Multiple Deprivation (quintiles),1 Most deprived,199297,41118,158179,79.4,232701
Index of Multiple Deprivation (quintiles),2,159292,24206,135086,84.8,179459
Index of Multiple Deprivation (quintiles),3,138460,15386,123074,88.9,152439
Index of Multiple Deprivation (quintiles),4,110565,9597,100968,91.3,119525
Index of Multiple Deprivation (quintiles),5 Least deprived,87605,5789,81816,93.4,92841
Index of Multiple Deprivation (quintiles),Unknown,19950,2919,17031,85.39999999999999,22491
Learning disability,no,690543,96607,593936,86.0,772625
Learning disability,yes,24626,2408,22218,90.2,26831
Chronic kidney disease,no,664160,94500,569660,85.8,744520
Chronic kidney disease,yes,51009,4508,46501,91.2,54929
Immune-mediated inflammatory disease,no,585200,86219,498981,85.3,659449
Immune-mediated inflammatory disease,yes,129969,12789,117180,90.2,140007
