Category,Group,Third Doses due at 11 May 2022 (n),Third doses overdue (n),Third doses given (n),Third doses given (% of due),Total population
overall,overall,2351741,453285,1898456,80.7,3009384
Sex,F,1195397,209496,985901,82.5,1439480
Sex,M,1156309,243782,912527,78.9,1569855
Ethnicity (broad categories),Black,59080,24150,34930,59.099999999999994,95382
Ethnicity (broad categories),Mixed,29274,8127,21147,72.2,44009
Ethnicity (broad categories),Other,61670,16289,45381,73.6,96411
Ethnicity (broad categories),South Asian,209496,66472,143024,68.30000000000001,278663
Ethnicity (broad categories),Unknown,176232,35455,140777,79.9,271285
Ethnicity (broad categories),White,1815947,302785,1513162,83.3,2223578
Ethnicity (detailed categories), African,39389,16401,22988,58.4,60291
Ethnicity (detailed categories), Bangladeshi or British Bangladeshi,15589,5068,10521,67.5,19446
Ethnicity (detailed categories), Caribbean,7147,2821,4326,60.5,14763
Ethnicity (detailed categories), Chinese,16541,2506,14035,84.8,24521
Ethnicity (detailed categories), Other,45115,13783,31332,69.39999999999999,71862
Ethnicity (detailed categories), Other Asian,49147,12789,36358,74.0,66570
Ethnicity (detailed categories),British or Mixed British,1589413,237622,1351791,85.0,1839236
Ethnicity (detailed categories),Indian or British Indian,88200,19782,68418,77.60000000000001,115269
Ethnicity (detailed categories),Irish,11221,1883,9338,83.2,15169
Ethnicity (detailed categories),Other Black,12537,4935,7602,60.6,20314
Ethnicity (detailed categories),Other White,215299,63259,152040,70.6,369159
Ethnicity (detailed categories),Other mixed,11368,2926,8442,74.3,17598
Ethnicity (detailed categories),Pakistani or British Pakistani,56567,28833,27734,49.0,77371
Ethnicity (detailed categories),Unknown,176260,35469,140791,79.9,271327
Ethnicity (detailed categories),White + Asian,6503,1428,5075,78.0,8680
Ethnicity (detailed categories),White + Black African,6846,2366,4480,65.4,10178
Ethnicity (detailed categories),White + Black Caribbean,4571,1414,3157,69.1,7567
Index of Multiple Deprivation (quintiles),1 Most deprived,396998,123683,273315,68.8,581357
Index of Multiple Deprivation (quintiles),2,435036,102193,332843,76.5,587440
Index of Multiple Deprivation (quintiles),3,486969,88214,398755,81.89999999999999,617673
Index of Multiple Deprivation (quintiles),4,485821,71449,414372,85.3,587706
Index of Multiple Deprivation (quintiles),5 Least deprived,478191,55286,422905,88.4,550312
Index of Multiple Deprivation (quintiles),Unknown,68684,12439,56245,81.89999999999999,84840
BMI,30+,457226,79926,377300,82.5,526953
BMI,under 30,1894473,373345,1521128,80.30000000000001,2482375
Chronic cardiac disease,no,2315124,446628,1868496,80.7,2965634
Chronic cardiac disease,yes,36582,6650,29932,81.8,43694
Current COPD,no,2338196,450303,1887893,80.7,2992486
Current COPD,yes,13503,2968,10535,78.0,16842
DMARDs,no,2327199,449960,1877239,80.7,2981615
DMARDs,yes,24507,3325,21182,86.4,27713
"Psychosis, schizophrenia, or bipolar",no,2323265,447069,1876196,80.80000000000001,2971045
"Psychosis, schizophrenia, or bipolar",yes,28434,6202,22232,78.2,38283
SSRI (last 12 months),no,2185078,425390,1759688,80.5,2819831
SSRI (last 12 months),yes,166621,27881,138740,83.3,189504
Chronic kidney disease,no,2341521,451689,1889832,80.7,2997596
Chronic kidney disease,yes,10185,1589,8596,84.39999999999999,11739
