Category,Group,Third Doses due at 05 Jan 2022 (n),Third doses overdue (n),Third doses given (n),Third doses given (% of due),Total population
overall,overall,1177442,100695,1076747,91.4,1307600
Sex,F,593516,49371,544145,91.7,652001
Sex,M,583919,51317,532602,91.2,655592
Ethnicity (broad categories),Black,13930,3843,10087,72.39999999999999,20692
Ethnicity (broad categories),Mixed,6454,1078,5376,83.3,8442
Ethnicity (broad categories),Other,12747,2289,10458,82.0,17507
Ethnicity (broad categories),South Asian,45731,9688,36043,78.8,54684
Ethnicity (broad categories),Unknown,95109,9359,85750,90.2,118020
Ethnicity (broad categories),White,1003464,74431,929033,92.60000000000001,1088241
ethnicity 16 groups, African,5523,1652,3871,70.1,8029
ethnicity 16 groups, Bangladeshi or British Bangladeshi,2016,511,1505,74.7,2380
ethnicity 16 groups, Caribbean,5222,1421,3801,72.8,8127
ethnicity 16 groups, Chinese,3934,455,3479,88.4,5236
ethnicity 16 groups, Other,8827,1834,6993,79.2,12285
ethnicity 16 groups, Other Asian,9751,1624,8127,83.3,11858
ethnicity 16 groups,British or Mixed British,943880,64876,879004,93.10000000000001,1008091
ethnicity 16 groups,Indian or British Indian,23779,3570,20209,85.0,27503
ethnicity 16 groups,Irish,5985,532,5453,91.10000000000001,6853
ethnicity 16 groups,Other Black,3178,763,2415,76.0,4529
ethnicity 16 groups,Other White,53550,9016,44534,83.2,73255
ethnicity 16 groups,Other mixed,2464,378,2086,84.7,3227
ethnicity 16 groups,Pakistani or British Pakistani,10185,3990,6195,60.8,12950
ethnicity 16 groups,Unknown,95144,9359,85785,90.2,118048
ethnicity 16 groups,White + Asian,1330,168,1162,87.4,1561
ethnicity 16 groups,White + Black African,1169,245,924,79.0,1575
ethnicity 16 groups,White + Black Caribbean,1498,294,1204,80.4,2086
Index of Multiple Deprivation (quintiles),1 Most deprived,170212,26565,143647,84.39999999999999,201796
Index of Multiple Deprivation (quintiles),2,208460,22463,185997,89.2,236705
Index of Multiple Deprivation (quintiles),3,258160,20195,237965,92.2,284886
Index of Multiple Deprivation (quintiles),4,262696,16695,246001,93.60000000000001,285607
Index of Multiple Deprivation (quintiles),5 Least deprived,252399,12551,239848,95.0,269591
Index of Multiple Deprivation (quintiles),Unknown,25508,2226,23282,91.3,29008
BMI,30+,298179,23870,274309,92.0,319074
BMI,under 30,879263,76825,802438,91.3,988512
Chronic cardiac disease,no,1086344,92351,993993,91.5,1209131
Chronic cardiac disease,yes,91091,8344,82747,90.8,98455
Current COPD,no,1144654,97104,1047550,91.5,1271690
Current COPD,yes,32788,3591,29197,89.0,35903
DMARDs,no,1156820,99267,1057553,91.4,1285690
DMARDs,yes,20622,1428,19194,93.10000000000001,21903
Dementia,no,1173900,100303,1073597,91.5,1303694
Dementia,yes,3542,399,3143,88.7,3892
"Psychosis, schizophrenia, or bipolar",no,1164716,98784,1065932,91.5,1292326
"Psychosis, schizophrenia, or bipolar",yes,12726,1918,10808,84.89999999999999,15260
SSRI (last 12 months),no,1096767,93352,1003415,91.5,1221514
SSRI (last 12 months),yes,80668,7336,73332,90.9,86072
Chemo or radiotherapy,no,1159711,99463,1060248,91.4,1288826
Chemo or radiotherapy,yes,17724,1232,16492,93.0,18760
Cancer (lung),no,1176154,100527,1075627,91.5,1306172
Cancer (lung),yes,1288,168,1120,87.0,1421
Cancer (excluding lung/haem),no,1105608,95746,1009862,91.3,1231139
Cancer (excluding lung/haem),yes,71834,4949,66885,93.10000000000001,76454
Cancer (haematological),no,1174187,100464,1073723,91.4,1304086
Cancer (haematological),yes,3255,238,3017,92.7,3507
Chronic kidney disease,no,1146859,98287,1048572,91.4,1274798
Chronic kidney disease,yes,30576,2401,28175,92.10000000000001,32788
