Category,Group,Third Doses due at 22 Jun 2022 (n),Third doses overdue (n),Third doses given (n),Third doses given (% of due),Total population
overall,overall,2197734,872746,1324988,60.3,3502282
Sex,F,1128743,416374,712369,63.1,1726445
Sex,M,1068788,456302,612486,57.3,1775522
Ethnicity (broad categories),Black,42462,28728,13734,32.300000000000004,110152
Ethnicity (broad categories),Mixed,40523,18788,21735,53.6,81781
Ethnicity (broad categories),Other,60690,27468,33222,54.7,149583
Ethnicity (broad categories),South Asian,184646,100114,84532,45.800000000000004,326396
Ethnicity (broad categories),Unknown,305879,119371,186508,61.0,491505
Ethnicity (broad categories),White,1563331,578214,985117,63.0,2342550
Ethnicity (detailed categories), African,27055,18739,8316,30.7,66451
Ethnicity (detailed categories), Bangladeshi or British Bangladeshi,15078,8827,6251,41.5,25340
Ethnicity (detailed categories), Caribbean,5320,3304,2016,37.9,16702
Ethnicity (detailed categories), Chinese,21882,7798,14084,64.4,60326
Ethnicity (detailed categories), Other,38808,19670,19138,49.3,89250
Ethnicity (detailed categories), Other Asian,40355,19495,20860,51.7,74074
Ethnicity (detailed categories),British or Mixed British,1413713,506674,907039,64.2,1970598
Ethnicity (detailed categories),Indian or British Indian,75446,34160,41286,54.7,124250
Ethnicity (detailed categories),Irish,6853,2611,4242,61.9,12740
Ethnicity (detailed categories),Other Black,10094,6685,3409,33.800000000000004,26992
Ethnicity (detailed categories),Other White,142716,68915,73801,51.7,359163
Ethnicity (detailed categories),Other mixed,14931,6888,8043,53.900000000000006,30597
Ethnicity (detailed categories),Pakistani or British Pakistani,53767,37632,16135,30.0,102746
Ethnicity (detailed categories),Unknown,305942,119378,186564,61.0,491568
Ethnicity (detailed categories),White + Asian,10745,3983,6762,62.9,17892
Ethnicity (detailed categories),White + Black African,6286,3591,2695,42.9,13636
Ethnicity (detailed categories),White + Black Caribbean,8540,4312,4228,49.5,19635
Index of Multiple Deprivation (quintiles),1 Most deprived,404460,211379,193081,47.699999999999996,792253
Index of Multiple Deprivation (quintiles),2,439754,193585,246169,56.00000000000001,746655
Index of Multiple Deprivation (quintiles),3,459417,174251,285166,62.1,706986
Index of Multiple Deprivation (quintiles),4,424970,145229,279741,65.8,611772
Index of Multiple Deprivation (quintiles),5 Least deprived,385595,117887,267708,69.39999999999999,518385
Index of Multiple Deprivation (quintiles),Unknown,83335,30345,52990,63.6,125923
