Category,Group,Third Doses due at 09 Feb 2022 (n),Third doses overdue (n),Third doses given (n),Third doses given (% of due),Total population
overall,overall,1351469,166432,1185037,87.7,1586228
Sex,F,681184,77742,603442,88.6,774284
Sex,M,670271,88683,581588,86.8,811930
Ethnicity (broad categories),Black,24927,7644,17283,69.3,38731
Ethnicity (broad categories),Mixed,11550,2394,9156,79.3,16023
Ethnicity (broad categories),Other,21581,4354,17227,79.80000000000001,31332
Ethnicity (broad categories),South Asian,72905,18109,54796,75.2,90573
Ethnicity (broad categories),Unknown,117292,15176,102116,87.1,156835
Ethnicity (broad categories),White,1103207,118748,984459,89.2,1252727
ethnicity 16 groups, African,13776,4417,9359,67.9,20468
ethnicity 16 groups, Bangladeshi or British Bangladeshi,4508,1141,3367,74.7,5257
ethnicity 16 groups, Caribbean,5306,1505,3801,71.6,9303
ethnicity 16 groups, Chinese,5845,714,5131,87.8,8029
ethnicity 16 groups, Other,15736,3640,12096,76.9,23296
ethnicity 16 groups, Other Asian,17773,3381,14392,81.0,22477
ethnicity 16 groups,British or Mixed British,1016351,101374,914977,90.0,1123570
ethnicity 16 groups,Indian or British Indian,31465,5635,25830,82.1,37429
ethnicity 16 groups,Irish,6734,833,5901,87.6,8281
ethnicity 16 groups,Other Black,5838,1715,4123,70.6,8960
ethnicity 16 groups,Other White,80129,16534,63595,79.4,120897
ethnicity 16 groups,Other mixed,4221,868,3353,79.4,5950
ethnicity 16 groups,Pakistani or British Pakistani,19152,7945,11207,58.5,25410
ethnicity 16 groups,Unknown,117299,15190,102109,87.1,156835
ethnicity 16 groups,White + Asian,2534,364,2170,85.6,3115
ethnicity 16 groups,White + Black African,2401,616,1785,74.3,3451
ethnicity 16 groups,White + Black Caribbean,2394,553,1841,76.9,3500
Index of Multiple Deprivation (quintiles),1 Most deprived,213388,44548,168840,79.10000000000001,276458
Index of Multiple Deprivation (quintiles),2,244608,37695,206913,84.6,297612
Index of Multiple Deprivation (quintiles),3,286454,32732,253722,88.6,333151
Index of Multiple Deprivation (quintiles),4,291697,27034,264663,90.7,330099
Index of Multiple Deprivation (quintiles),5 Least deprived,285019,20804,264215,92.7,313103
Index of Multiple Deprivation (quintiles),Unknown,30296,3626,26670,88.0,35798
BMI,30+,317583,35266,282317,88.9,350637
BMI,under 30,1033879,131159,902720,87.3,1235577
Chronic cardiac disease,no,1306942,160650,1146292,87.7,1535583
Chronic cardiac disease,yes,44513,5775,38738,87.0,50631
Current COPD,no,1334767,163758,1171009,87.7,1566754
Current COPD,yes,16695,2667,14028,84.0,19460
DMARDs,no,1333444,164822,1168622,87.6,1566579
DMARDs,yes,18018,1603,16415,91.10000000000001,19635
"Psychosis, schizophrenia, or bipolar",no,1335817,163793,1172024,87.7,1565935
"Psychosis, schizophrenia, or bipolar",yes,15645,2639,13006,83.1,20286
SSRI (last 12 months),no,1243312,154259,1089053,87.6,1468061
SSRI (last 12 months),yes,108150,12173,95977,88.7,118153
Chronic kidney disease,no,1340101,165235,1174866,87.7,1573516
Chronic kidney disease,yes,11361,1197,10164,89.5,12698
