Category,Group,Third Doses due at 23 Mar 2022 (n),Third doses overdue (n),Third doses given (n),Third doses given (% of due),Total population
overall,overall,2227113,675850,1551263,69.69999999999999,3407740
Sex,F,1155777,323820,831957,72.0,1647254
Sex,M,1071266,352009,719257,67.10000000000001,1760381
Ethnicity (broad categories),Black,46088,24094,21994,47.699999999999996,102361
Ethnicity (broad categories),Mixed,33887,12474,21413,63.2,64211
Ethnicity (broad categories),Other,63777,21952,41825,65.60000000000001,126602
Ethnicity (broad categories),South Asian,215215,86303,128912,59.9,351512
Ethnicity (broad categories),Unknown,175889,58051,117838,67.0,310786
Ethnicity (broad categories),White,1692187,472948,1219239,72.1,2452170
ethnicity 16 groups, African,31332,16450,14882,47.5,64288
ethnicity 16 groups, Bangladeshi or British Bangladeshi,15148,6552,8596,56.699999999999996,23114
ethnicity 16 groups, Caribbean,5376,2758,2618,48.699999999999996,16240
ethnicity 16 groups, Chinese,16058,3010,13048,81.3,32480
ethnicity 16 groups, Other,47712,18949,28763,60.3,94108
ethnicity 16 groups, Other Asian,47803,16772,31031,64.9,80227
ethnicity 16 groups,British or Mixed British,1453844,377734,1076110,74.0,1920261
ethnicity 16 groups,Indian or British Indian,94591,29015,65576,69.3,150500
ethnicity 16 groups,Irish,9954,2534,7420,74.5,16968
ethnicity 16 groups,Other Black,9380,4886,4494,47.9,21833
ethnicity 16 groups,Other White,228389,92673,135716,59.4,514948
ethnicity 16 groups,Other mixed,13867,4879,8988,64.8,26159
ethnicity 16 groups,Pakistani or British Pakistani,57694,33992,23702,41.099999999999994,97664
ethnicity 16 groups,Unknown,175875,58044,117831,67.0,310786
ethnicity 16 groups,White + Asian,7805,2338,5467,70.0,12397
ethnicity 16 groups,White + Black African,5957,2597,3360,56.39999999999999,11410
ethnicity 16 groups,White + Black Caribbean,6272,2674,3598,57.4,14245
Index of Multiple Deprivation (quintiles),1 Most deprived,415695,175602,240093,57.8,761285
Index of Multiple Deprivation (quintiles),2,446047,153804,292243,65.5,730506
Index of Multiple Deprivation (quintiles),3,462623,133364,329259,71.2,693728
Index of Multiple Deprivation (quintiles),4,429191,107555,321636,74.9,599368
Index of Multiple Deprivation (quintiles),5 Least deprived,372316,79212,293104,78.7,485688
Index of Multiple Deprivation (quintiles),Unknown,101171,26299,74872,74.0,137060
