Category,Group,Second Doses due at 11 May 2022 (n),Second doses overdue (n),Second doses given (n),Second doses given (% of due),Total population
overall,overall,1405698,28987,1376711,97.89999999999999,1591961
Sex,F,706629,13293,693336,98.1,777707
Sex,M,699055,15687,683368,97.8,814247
Ethnicity (broad categories),Black,28161,1435,26726,94.89999999999999,39137
Ethnicity (broad categories),Mixed,12467,490,11977,96.1,16086
Ethnicity (broad categories),Other,23919,994,22925,95.8,31997
Ethnicity (broad categories),South Asian,78561,2534,76027,96.8,91182
Ethnicity (broad categories),Unknown,112511,2247,110264,98.0,146783
Ethnicity (broad categories),White,1150072,21287,1128785,98.1,1266762
Ethnicity (detailed categories), African,15484,763,14721,95.1,20566
Ethnicity (detailed categories), Bangladeshi or British Bangladeshi,4774,126,4648,97.39999999999999,5320
Ethnicity (detailed categories), Caribbean,5936,329,5607,94.5,9317
Ethnicity (detailed categories), Chinese,6622,280,6342,95.8,8372
Ethnicity (detailed categories), Other,17297,714,16583,95.89999999999999,23625
Ethnicity (detailed categories), Other Asian,19152,616,18536,96.8,22708
Ethnicity (detailed categories),British or Mixed British,1056104,18214,1037890,98.3,1135540
Ethnicity (detailed categories),Indian or British Indian,33180,889,32291,97.3,37625
Ethnicity (detailed categories),Irish,7154,203,6951,97.2,8365
Ethnicity (detailed categories),Other Black,6734,343,6391,94.89999999999999,9247
Ethnicity (detailed categories),Other White,86800,2870,83930,96.7,122850
Ethnicity (detailed categories),Other mixed,4522,182,4340,96.0,5978
Ethnicity (detailed categories),Pakistani or British Pakistani,21462,896,20566,95.8,25543
Ethnicity (detailed categories),Unknown,112532,2240,110292,98.0,146804
Ethnicity (detailed categories),White + Asian,2688,70,2618,97.39999999999999,3150
Ethnicity (detailed categories),White + Black African,2646,126,2520,95.19999999999999,3444
Ethnicity (detailed categories),White + Black Caribbean,2590,105,2485,95.89999999999999,3500
Index of Multiple Deprivation (quintiles),1 Most deprived,226296,7329,218967,96.8,276556
Index of Multiple Deprivation (quintiles),2,255829,6265,249564,97.6,298011
Index of Multiple Deprivation (quintiles),3,298291,5747,292544,98.1,335601
Index of Multiple Deprivation (quintiles),4,301133,4949,296184,98.4,331282
Index of Multiple Deprivation (quintiles),5 Least deprived,291452,3738,287714,98.7,313537
Index of Multiple Deprivation (quintiles),Unknown,32683,952,31731,97.1,36960
BMI,30+,331653,5677,325976,98.3,355362
BMI,under 30,1074031,23303,1050728,97.8,1236585
Chronic cardiac disease,no,1358042,27888,1330154,97.89999999999999,1539748
Chronic cardiac disease,yes,47642,1092,46550,97.7,52206
Current COPD,no,1387358,28441,1358917,97.89999999999999,1571591
Current COPD,yes,18326,539,17787,97.1,20356
DMARDs,no,1386819,28721,1358098,97.89999999999999,1571843
DMARDs,yes,18865,259,18606,98.6,20104
"Psychosis, schizophrenia, or bipolar",no,1388688,28259,1360429,98.0,1571535
"Psychosis, schizophrenia, or bipolar",yes,16996,721,16275,95.8,20412
SSRI (last 12 months),no,1294461,26852,1267609,97.89999999999999,1474249
SSRI (last 12 months),yes,111223,2128,109095,98.1,117698
Chronic kidney disease,no,1393553,28742,1364811,97.89999999999999,1578815
Chronic kidney disease,yes,12131,238,11893,98.0,13132
brand of first dose,Moderna,9926,3416,6510,65.60000000000001,10395
brand of first dose,Oxford-AZ,1104817,11963,1092854,98.9,1104831
brand of first dose,Pfizer,289373,13468,275905,95.3,290976
brand of first dose,Unknown,1568,133,1435,91.5,1603
