Category,Group,Second Doses due at 20 Apr 2022 (n),Second doses overdue (n),Second doses given (n),Second doses given (% of due),Total population
overall,overall,2446045,129885,2316160,94.69999999999999,3410428
Sex,F,1260189,59577,1200612,95.3,1648038
Sex,M,1185779,70301,1115478,94.1,1762278
Ethnicity (broad categories),Black,57071,5628,51443,90.10000000000001,103474
Ethnicity (broad categories),Mixed,38983,2884,36099,92.60000000000001,64526
Ethnicity (broad categories),Other,72765,5201,67564,92.9,127253
Ethnicity (broad categories),South Asian,245721,16219,229502,93.4,353185
Ethnicity (broad categories),Unknown,188839,10136,178703,94.6,304871
Ethnicity (broad categories),White,1842589,89810,1752779,95.1,2457000
ethnicity 16 groups, African,38759,3710,35049,90.4,65114
ethnicity 16 groups, Bangladeshi or British Bangladeshi,17150,1029,16121,94.0,23198
ethnicity 16 groups, Caribbean,6622,700,5922,89.4,16275
ethnicity 16 groups, Chinese,17794,1022,16772,94.3,32578
ethnicity 16 groups, Other,54978,4179,50799,92.4,94696
ethnicity 16 groups, Other Asian,54768,3899,50869,92.9,80696
ethnicity 16 groups,British or Mixed British,1576526,73787,1502739,95.3,1924195
ethnicity 16 groups,Indian or British Indian,104923,5880,99043,94.39999999999999,151389
ethnicity 16 groups,Irish,10955,665,10290,93.89999999999999,17010
ethnicity 16 groups,Other Black,11683,1211,10472,89.60000000000001,22071
ethnicity 16 groups,Other White,255066,15351,239715,94.0,515746
ethnicity 16 groups,Other mixed,15729,1085,14644,93.10000000000001,26292
ethnicity 16 groups,Pakistani or British Pakistani,68887,5404,63483,92.2,97930
ethnicity 16 groups,Unknown,188874,10150,178724,94.6,304906
ethnicity 16 groups,White + Asian,8708,518,8190,94.1,12439
ethnicity 16 groups,White + Black African,7105,567,6538,92.0,11487
ethnicity 16 groups,White + Black Caribbean,7434,714,6720,90.4,14301
Index of Multiple Deprivation (quintiles),1 Most deprived,475783,36603,439180,92.30000000000001,761390
Index of Multiple Deprivation (quintiles),2,495243,29239,466004,94.1,730744
Index of Multiple Deprivation (quintiles),3,503958,24479,479479,95.1,693812
Index of Multiple Deprivation (quintiles),4,462672,19579,443093,95.8,599669
Index of Multiple Deprivation (quintiles),5 Least deprived,396613,14273,382340,96.39999999999999,486017
Index of Multiple Deprivation (quintiles),Unknown,111706,5712,105994,94.89999999999999,138684
brand of first dose,Moderna,155596,17227,138369,88.9,159551
brand of first dose,Oxford-AZ,547575,13363,534212,97.6,547610
brand of first dose,Pfizer,1738443,98560,1639883,94.3,1767227
brand of first dose,Unknown,4361,735,3626,83.1,4417
