Category,Group,Second Doses due at 09 Feb 2022 (n),Second doses overdue (n),Second doses given (n),Second doses given (% of due),Total population
overall,overall,2335186,134295,2200891,94.19999999999999,3530226
Sex,F,1189034,58324,1130710,95.1,1742888
Sex,M,1145956,75964,1069992,93.4,1787044
Ethnicity (broad categories),Black,45409,5215,40194,88.5,106463
Ethnicity (broad categories),Mixed,42238,3297,38941,92.2,79114
Ethnicity (broad categories),Other,62909,5978,56931,90.5,150815
Ethnicity (broad categories),South Asian,192787,13384,179403,93.10000000000001,317380
Ethnicity (broad categories),Unknown,335566,16926,318640,95.0,514626
Ethnicity (broad categories),White,1656074,89474,1566600,94.6,2361534
ethnicity 16 groups, African,29148,3423,25725,88.3,64183
ethnicity 16 groups, Bangladeshi or British Bangladeshi,15645,1169,14476,92.5,23982
ethnicity 16 groups, Caribbean,5768,595,5173,89.7,16793
ethnicity 16 groups, Chinese,21105,2247,18858,89.4,62391
ethnicity 16 groups, Other,41790,3738,38052,91.10000000000001,88396
ethnicity 16 groups, Other Asian,42560,3017,39543,92.9,73493
ethnicity 16 groups,British or Mixed British,1490874,77259,1413615,94.8,1973013
ethnicity 16 groups,Indian or British Indian,79436,4095,75341,94.8,120498
ethnicity 16 groups,Irish,7714,567,7147,92.60000000000001,13230
ethnicity 16 groups,Other Black,10493,1197,9296,88.6,25494
ethnicity 16 groups,Other White,157493,11662,145831,92.60000000000001,375291
ethnicity 16 groups,Other mixed,15540,1211,14329,92.2,29680
ethnicity 16 groups,Pakistani or British Pakistani,55153,5103,50050,90.7,99435
ethnicity 16 groups,Unknown,335587,16926,318661,95.0,514633
ethnicity 16 groups,White + Asian,11074,644,10430,94.19999999999999,17290
ethnicity 16 groups,White + Black African,6566,616,5950,90.60000000000001,13013
ethnicity 16 groups,White + Black Caribbean,9044,826,8218,90.9,19138
Index of Multiple Deprivation (quintiles),1 Most deprived,445088,39508,405580,91.10000000000001,799855
Index of Multiple Deprivation (quintiles),2,475895,30905,444990,93.5,759409
Index of Multiple Deprivation (quintiles),3,486955,25459,461496,94.8,714392
Index of Multiple Deprivation (quintiles),4,445137,19698,425439,95.6,617505
Index of Multiple Deprivation (quintiles),5 Least deprived,394359,14168,380191,96.39999999999999,513905
Index of Multiple Deprivation (quintiles),Unknown,87563,4550,83013,94.8,124873
brand of first dose,Moderna,165438,11543,153895,93.0,194558
brand of first dose,Oxford-AZ,346339,11172,335167,96.8,346584
brand of first dose,Pfizer,1820938,111083,1709855,93.89999999999999,1968540
brand of first dose,Unknown,2282,497,1785,78.2,2387
