Category,Group,Second Doses due at 22 Jun 2022 (n),Second doses overdue (n),Second doses given (n),Second doses given (% of due),Total population
overall,overall,359163,80780,278383,77.5,546658
Sex,F,180292,39585,140707,78.0,267827
Sex,M,178843,41195,137648,77.0,278782
Ethnicity (broad categories),Black,6580,2611,3969,60.3,18340
Ethnicity (broad categories),Mixed,7861,2107,5754,73.2,15274
Ethnicity (broad categories),Other,7343,1946,5397,73.5,15225
Ethnicity (broad categories),South Asian,27524,7924,19600,71.2,48118
Ethnicity (broad categories),Unknown,58478,11718,46760,80.0,87185
Ethnicity (broad categories),White,251356,54481,196875,78.3,362460
Index of Multiple Deprivation (quintiles),1 Most deprived,61488,20664,40824,66.4,124243
Index of Multiple Deprivation (quintiles),2,62706,16786,45920,73.2,103691
Index of Multiple Deprivation (quintiles),3,71806,15834,55972,77.9,105035
Index of Multiple Deprivation (quintiles),4,74921,13776,61145,81.6,101087
Index of Multiple Deprivation (quintiles),5 Least deprived,79688,11795,67893,85.2,99785
Index of Multiple Deprivation (quintiles),Unknown,8526,1918,6608,77.5,12775
brand of first dose,Moderna,315,147,168,53.300000000000004,343
brand of first dose,Oxford-AZ,707,28,679,96.0,707
brand of first dose,Pfizer,358008,80577,277431,77.5,366051
brand of first dose,Unknown,98,7,91,92.9,105
