Category,Group,Second Doses due at 23 Mar 2022 (n),Second doses overdue (n),Second doses given (n),Second doses given (% of due),Total population
overall,overall,2012563,14868,1997695,99.3,2091971
Sex,F,1058407,8120,1050287,99.2,1099161
Sex,M,954149,6755,947394,99.3,992796
Age band,70-74,1148091,9016,1139075,99.2,1198309
Age band,75-79,864458,5852,858606,99.3,893648
Ethnicity (broad categories),Black,11494,350,11144,97.0,14896
Ethnicity (broad categories),Mixed,5698,119,5579,97.89999999999999,6671
Ethnicity (broad categories),Other,13573,315,13258,97.7,16240
Ethnicity (broad categories),South Asian,51457,1015,50442,98.0,57253
Ethnicity (broad categories),Unknown,95613,805,94808,99.2,109214
Ethnicity (broad categories),White,1834721,12271,1822450,99.3,1887676
ethnicity 16 groups, African,3948,161,3787,95.89999999999999,5369
ethnicity 16 groups, Bangladeshi or British Bangladeshi,1680,49,1631,97.1,1925
ethnicity 16 groups, Caribbean,5369,133,5236,97.5,6783
ethnicity 16 groups, Chinese,3591,63,3528,98.2,4389
ethnicity 16 groups, Other,9982,245,9737,97.5,11858
ethnicity 16 groups, Other Asian,10311,203,10108,98.0,11739
ethnicity 16 groups,British or Mixed British,1744631,11207,1733424,99.4,1787849
ethnicity 16 groups,Indian or British Indian,29036,448,28588,98.5,31479
ethnicity 16 groups,Irish,14658,154,14504,98.9,15477
ethnicity 16 groups,Other Black,2170,49,2121,97.7,2737
ethnicity 16 groups,Other White,75432,910,74522,98.8,84350
ethnicity 16 groups,Other mixed,2310,35,2275,98.5,2646
ethnicity 16 groups,Pakistani or British Pakistani,10430,308,10122,97.0,12110
ethnicity 16 groups,Unknown,95613,805,94808,99.2,109214
ethnicity 16 groups,White + Asian,1274,21,1253,98.4,1428
ethnicity 16 groups,White + Black African,889,28,861,96.89999999999999,1106
ethnicity 16 groups,White + Black Caribbean,1218,28,1190,97.7,1498
Index of Multiple Deprivation (quintiles),1 Most deprived,254177,2261,251916,99.1,270914
Index of Multiple Deprivation (quintiles),2,335846,2688,333158,99.2,352443
Index of Multiple Deprivation (quintiles),3,450345,3304,447041,99.3,467180
Index of Multiple Deprivation (quintiles),4,468811,3206,465605,99.3,484064
Index of Multiple Deprivation (quintiles),5 Least deprived,463365,2751,460614,99.4,475139
Index of Multiple Deprivation (quintiles),Unknown,40019,665,39354,98.3,42217
BMI,30+,504735,3178,501557,99.4,517258
BMI,under 30,1507821,11697,1496124,99.2,1574699
Housebound,no,1973230,14385,1958845,99.3,2051014
Housebound,yes,39326,490,38836,98.8,40943
Chronic cardiac disease,no,1639561,12334,1627227,99.2,1709001
Chronic cardiac disease,yes,372995,2541,370454,99.3,382956
Current COPD,no,1819797,13587,1806210,99.3,1894235
Current COPD,yes,192759,1288,191471,99.3,197722
DMARDs,no,1939490,14525,1924965,99.3,2017540
DMARDs,yes,73066,350,72716,99.5,74417
Dementia,no,1969191,14385,1954806,99.3,2047290
Dementia,yes,43358,483,42875,98.9,44667
"Psychosis, schizophrenia, or bipolar",no,1993740,14581,1979159,99.3,2071713
"Psychosis, schizophrenia, or bipolar",yes,18816,287,18529,98.5,20244
Learning disability,no,2009784,14840,1994944,99.3,2089059
Learning disability,yes,2772,35,2737,98.7,2898
SSRI (last 12 months),no,1908704,14140,1894564,99.3,1986201
SSRI (last 12 months),yes,103845,728,103117,99.3,105756
Chemo or radiotherapy,no,1941226,14490,1926736,99.3,2019269
Chemo or radiotherapy,yes,71330,385,70945,99.5,72688
Cancer (lung),no,1999144,14777,1984367,99.3,2078272
Cancer (lung),yes,13412,98,13314,99.3,13685
Cancer (excluding lung/haem),no,1717457,13146,1704311,99.2,1790579
Cancer (excluding lung/haem),yes,295099,1722,293377,99.4,301378
Cancer (haematological),no,1981322,14693,1966629,99.3,2060058
Cancer (haematological),yes,31234,182,31052,99.4,31899
Chronic kidney disease,no,1747137,13223,1733914,99.2,1820539
Chronic kidney disease,yes,265419,1652,263767,99.4,271418
brand of first dose,Moderna,1575,980,595,37.8,2100
brand of first dose,Oxford-AZ,1207213,4746,1202467,99.6,1207234
brand of first dose,Pfizer,801913,9100,792813,98.9,804272
brand of first dose,Unknown,1855,49,1806,97.39999999999999,1911
