Category,Group,Vaccinated at 22 Jun 2022 (n),Vaccinated at 22 Jun 2022 (%),Total eligible,Previous week's vaccination coverage (%),Vaccinated over last 7d (%)
overall,overall,77427,88.2,87794,88.2,0.0
Sex,F,29729,89.9,33082,89.9,0.0
Sex,M,47698,87.2,54712,87.2,0.0
Age band,16-17,3486,73.5,4746,73.5,0.0
Age band,18-29,26887,85.1,31577,85.1,0.0
Age band,30-34,10276,87.4,11760,87.4,0.0
Age band,35-39,7644,89.7,8519,89.7,0.0
Age band,40-44,6083,91.8,6629,91.8,0.0
Age band,45-49,5516,93.1,5922,93.1,0.0
Age band,50-54,6223,94.0,6622,94.0,0.0
Age band,55-59,6314,94.1,6713,94.0,0.1
Age band,60-64,5005,94.5,5299,94.5,0.0
Ethnicity (broad categories),Black,1029,66.2,1554,66.2,0.0
Ethnicity (broad categories),Mixed,959,75.3,1274,75.3,0.0
Ethnicity (broad categories),Other,665,78.5,847,78.5,0.0
Ethnicity (broad categories),South Asian,4389,82.9,5292,82.9,0.0
Ethnicity (broad categories),Unknown,4473,86.7,5159,86.7,0.0
Ethnicity (broad categories),White,65919,89.5,73668,89.5,0.0
