Category,Group,Vaccinated at 10 Aug 2022 (n),Vaccinated at 10 Aug 2022 (%),Total eligible,Previous week's vaccination coverage (%),Vaccinated over last 7d (%)
overall,overall,219163,10.8,2022195,10.7,0.1
Sex,F,106533,10.8,985061,10.7,0.1
Sex,M,112630,10.9,1037106,10.7,0.2
Ethnicity (broad categories),Black,3269,5.0,65716,4.9,0.1
Ethnicity (broad categories),Mixed,6650,8.5,78589,8.3,0.2
Ethnicity (broad categories),Other,5656,9.8,57953,9.6,0.2
Ethnicity (broad categories),South Asian,23506,12.0,195132,11.8,0.2
Ethnicity (broad categories),Unknown,22008,10.5,208852,10.4,0.1
Ethnicity (broad categories),White,158074,11.2,1415925,11.0,0.2
Ethnicity (detailed categories), African,2345,5.5,42602,5.4,0.1
Ethnicity (detailed categories), Bangladeshi or British Bangladeshi,1918,11.5,16611,11.3,0.2
Ethnicity (detailed categories), Caribbean,161,2.2,7175,2.2,0.0
Ethnicity (detailed categories), Chinese,2114,19.3,10934,19.1,0.2
Ethnicity (detailed categories), Other,3535,7.5,47026,7.4,0.1
Ethnicity (detailed categories), Other Asian,4515,12.1,37177,11.9,0.2
Ethnicity (detailed categories),British or Mixed British,148449,11.9,1243886,11.8,0.1
Ethnicity (detailed categories),Indian or British Indian,13566,21.0,64589,20.6,0.4
Ethnicity (detailed categories),Irish,336,8.6,3920,8.4,0.2
Ethnicity (detailed categories),Other Black,763,4.8,15953,4.7,0.1
Ethnicity (detailed categories),Other White,9310,5.5,168063,5.5,0.0
Ethnicity (detailed categories),Other mixed,2674,8.9,30030,8.8,0.1
Ethnicity (detailed categories),Pakistani or British Pakistani,3507,4.6,76741,4.5,0.1
Ethnicity (detailed categories),Unknown,21994,10.5,208866,10.4,0.1
Ethnicity (detailed categories),White + Asian,2345,12.8,18319,12.6,0.2
Ethnicity (detailed categories),White + Black African,938,7.3,12852,7.2,0.1
Ethnicity (detailed categories),White + Black Caribbean,700,4.0,17423,3.9,0.1
Index of Multiple Deprivation (quintiles),1 Most deprived,32207,6.6,484596,6.6,0.0
Index of Multiple Deprivation (quintiles),2,36309,9.2,392560,9.1,0.1
Index of Multiple Deprivation (quintiles),3,43253,11.4,380037,11.2,0.2
Index of Multiple Deprivation (quintiles),4,46270,13.2,350637,13.0,0.2
Index of Multiple Deprivation (quintiles),5 Least deprived,51443,15.6,329077,15.4,0.2
Index of Multiple Deprivation (quintiles),Unknown,9688,11.4,85253,11.2,0.2
Risk status,In a risk group,21350,18.0,118839,17.8,0.2
Risk status,Not in a risk group,197813,10.4,1903328,10.2,0.2
