Category,Group,Vaccinated at 22 Jun 2022 (n),Vaccinated at 22 Jun 2022 (%),Total eligible,Previous week's vaccination coverage (%),Vaccinated over last 7d (%)
overall,overall,735924,92.1,799470,92.0,0.1
newly shielded since feb 15,no,435694,93.7,465108,93.7,0.0
newly shielded since feb 15,yes,300230,89.8,334362,89.8,0.0
Sex,F,416857,92.0,453026,92.0,0.0
Sex,M,319053,92.1,346430,92.1,0.0
Age band,16-29,51282,85.0,60305,85.0,0.0
Age band,30-39,105714,87.2,121254,87.2,0.0
Age band,40-49,146055,91.0,160580,90.9,0.1
Age band,50-59,208957,93.6,223146,93.6,0.0
Age band,60-69,223902,95.6,234178,95.6,0.0
Ethnicity (broad categories),Black,35490,80.1,44282,80.1,0.0
Ethnicity (broad categories),Mixed,11732,82.6,14203,82.6,0.0
Ethnicity (broad categories),Other,15155,85.2,17787,85.2,0.0
Ethnicity (broad categories),South Asian,97531,91.7,106400,91.7,0.0
Ethnicity (broad categories),Unknown,18179,88.5,20552,88.5,0.0
Ethnicity (broad categories),White,557809,93.6,596225,93.6,0.0
Index of Multiple Deprivation (quintiles),1 Most deprived,207116,89.0,232701,89.0,0.0
Index of Multiple Deprivation (quintiles),2,164143,91.5,179459,91.5,0.0
Index of Multiple Deprivation (quintiles),3,141855,93.1,152439,93.1,0.0
Index of Multiple Deprivation (quintiles),4,112980,94.5,119525,94.5,0.0
Index of Multiple Deprivation (quintiles),5 Least deprived,89082,96.0,92841,95.9,0.1
Index of Multiple Deprivation (quintiles),Unknown,20734,92.2,22491,92.2,0.0
Learning disability,no,710591,92.0,772625,92.0,0.0
Learning disability,yes,25319,94.4,26831,94.3,0.1
Chronic kidney disease,no,683935,91.9,744520,91.9,0.0
Chronic kidney disease,yes,51968,94.6,54929,94.6,0.0
Immune-mediated inflammatory disease,no,603274,91.5,659449,91.5,0.0
Immune-mediated inflammatory disease,yes,132629,94.7,140007,94.7,0.0
