Category,Group,Vaccinated at 22 Jun 2022 (n),Vaccinated at 22 Jun 2022 (%),Total eligible,Previous week's vaccination coverage (%),Vaccinated over last 7d (%)
overall,overall,113505,96.7,117341,96.7,0.0
Sex,F,78806,97.0,81270,96.9,0.1
Sex,M,34692,96.2,36071,96.1,0.1
Age band,65-69,6188,94.2,6566,94.2,0.0
Age band,70-74,8953,95.2,9408,95.1,0.1
Age band,75-79,14483,96.0,15085,95.9,0.1
Age band,80-84,19747,96.8,20398,96.7,0.1
Age band,85-89,26628,97.2,27384,97.2,0.0
Age band,90+,37506,97.4,38493,97.4,0.0
Ethnicity (broad categories),Black,707,87.1,812,87.1,0.0
Ethnicity (broad categories),Mixed,350,94.3,371,94.3,0.0
Ethnicity (broad categories),Other,553,95.2,581,95.2,0.0
Ethnicity (broad categories),South Asian,1057,93.8,1127,93.8,0.0
Ethnicity (broad categories),Unknown,1925,91.1,2114,91.1,0.0
Ethnicity (broad categories),White,108913,97.0,112336,96.9,0.1
Dementia,no,52409,95.6,54803,95.6,0.0
Dementia,yes,61089,97.7,62538,97.6,0.1
