Category,Group,Vaccinated at 21 Jul (n),Vaccinated at 21 Jul (%),Total eligible,Previous week's vaccination coverage (%),Vaccinated over last 7d (%)
overall,overall,1002849,93.4,1073534,93.4,0.0
Sex,F,516082,93.9,549437,93.9,0.0
Sex,M,486766,92.9,524090,92.8,0.1
Ethnicity (broad categories),Black,7889,72.7,10857,72.5,0.2
Ethnicity (broad categories),Mixed,4025,80.8,4984,80.6,0.2
Ethnicity (broad categories),Other,9366,78.0,12012,77.7,0.3
Ethnicity (broad categories),South Asian,38325,87.7,43687,87.6,0.1
Ethnicity (broad categories),Unknown,81221,85.3,95270,85.2,0.1
Ethnicity (broad categories),White,862022,95.1,906717,95.0,0.1
ethnicity 16 groups, African,3052,71.0,4298,70.8,0.2
ethnicity 16 groups, Bangladeshi or British Bangladeshi,1568,89.2,1757,89.2,0.0
ethnicity 16 groups, Caribbean,3255,72.3,4501,72.2,0.1
ethnicity 16 groups, Chinese,2975,78.0,3815,77.8,0.2
ethnicity 16 groups, Other,6391,78.0,8197,77.8,0.2
ethnicity 16 groups, Other Asian,7007,86.0,8148,85.8,0.2
ethnicity 16 groups,British or Mixed British,815549,96.0,849191,96.0,0.0
ethnicity 16 groups,Indian or British Indian,20832,90.6,22988,90.6,0.0
ethnicity 16 groups,Irish,6034,91.6,6587,91.5,0.1
ethnicity 16 groups,Other Black,1589,76.9,2065,76.6,0.3
ethnicity 16 groups,Other White,40446,79.4,50946,79.3,0.1
ethnicity 16 groups,Other mixed,1561,80.5,1939,80.5,0.0
ethnicity 16 groups,Pakistani or British Pakistani,8918,82.6,10794,82.4,0.2
ethnicity 16 groups,Unknown,81207,85.2,95263,85.2,0.0
ethnicity 16 groups,White + Asian,903,88.4,1022,88.4,0.0
ethnicity 16 groups,White + Black African,679,75.2,903,75.2,0.0
ethnicity 16 groups,White + Black Caribbean,875,78.1,1120,78.1,0.0
Index of Multiple Deprivation (quintiles),1 Most deprived,135961,89.4,152033,89.4,0.0
Index of Multiple Deprivation (quintiles),2,172774,91.9,188041,91.8,0.1
Index of Multiple Deprivation (quintiles),3,223090,93.7,237993,93.7,0.0
Index of Multiple Deprivation (quintiles),4,227808,94.7,240639,94.6,0.1
Index of Multiple Deprivation (quintiles),5 Least deprived,222320,95.7,232246,95.7,0.0
Index of Multiple Deprivation (quintiles),Unknown,20895,92.6,22568,92.5,0.1
BMI,30+,257257,95.8,268520,95.8,0.0
BMI,under 30,745591,92.6,805000,92.6,0.0
Chronic cardiac disease,no,894824,93.2,960134,93.2,0.0
Chronic cardiac disease,yes,108024,95.3,113393,95.2,0.1
Current COPD,no,964194,93.4,1032815,93.3,0.1
Current COPD,yes,38654,94.9,40712,94.9,0.0
DMARDs,no,983402,93.4,1053395,93.3,0.1
DMARDs,yes,19439,96.6,20132,96.6,0.0
Dementia,no,997255,93.4,1067605,93.4,0.0
Dementia,yes,5593,94.4,5922,94.3,0.1
"Psychosis, schizophrenia, or bipolar",no,992425,93.5,1061823,93.4,0.1
"Psychosis, schizophrenia, or bipolar",yes,10416,89.0,11704,88.9,0.1
Learning disability,no,1000524,93.4,1071021,93.4,0.0
Learning disability,yes,2317,92.7,2499,92.7,0.0
SSRI (last 12 months),no,943992,93.2,1012641,93.2,0.0
SSRI (last 12 months),yes,58849,96.7,60886,96.6,0.1
Chemo or radiotherapy,no,983682,93.4,1053654,93.3,0.1
Chemo or radiotherapy,yes,19159,96.4,19873,96.4,0.0
Cancer (lung),no,1001084,93.4,1071679,93.4,0.0
Cancer (lung),yes,1757,95.1,1848,95.1,0.0
Cancer (excluding lung/haem),no,916692,93.2,983990,93.1,0.1
Cancer (excluding lung/haem),yes,86149,96.2,89537,96.2,0.0
Cancer (haematological),no,999404,93.4,1069915,93.4,0.0
Cancer (haematological),yes,3444,95.3,3612,95.3,0.0
