Category,Group,Vaccinated at 22 Jun 2022 (n),Vaccinated at 22 Jun 2022 (%),Total eligible,Previous week's vaccination coverage (%),Vaccinated over last 7d (%)
overall,overall,367234,67.2,546658,67.1,0.1
Sex,F,184450,68.9,267827,68.8,0.1
Sex,M,182749,65.6,278782,65.5,0.1
Ethnicity (broad categories),Black,6965,38.0,18340,37.9,0.1
Ethnicity (broad categories),Mixed,8120,53.2,15274,53.1,0.1
Ethnicity (broad categories),Other,7651,50.3,15225,50.2,0.1
Ethnicity (broad categories),South Asian,28707,59.7,48118,59.6,0.1
Ethnicity (broad categories),Unknown,59598,68.4,87185,68.3,0.1
Ethnicity (broad categories),White,256165,70.7,362460,70.6,0.1
Index of Multiple Deprivation (quintiles),1 Most deprived,63560,51.2,124243,51.1,0.1
Index of Multiple Deprivation (quintiles),2,64330,62.0,103691,62.0,0.0
Index of Multiple Deprivation (quintiles),3,73276,69.8,105035,69.7,0.1
Index of Multiple Deprivation (quintiles),4,76328,75.5,101087,75.5,0.0
Index of Multiple Deprivation (quintiles),5 Least deprived,80934,81.1,99785,81.1,0.0
Index of Multiple Deprivation (quintiles),Unknown,8764,68.6,12775,68.6,0.0
