Category,Group,Vaccinated at 11 Feb (n),Vaccinated at 11 Feb (%),Total eligible,vaccinated at 2021-02-04 (percent),Vaccinated over last 7d (%)
overall,overall,324139.0,65.0,499032.0,36.4,28.6
Sex,F,176512.0,65.1,271205.0,37.5,27.6
Sex,M,147623.0,64.8,227822.0,35.1,29.7
Age band,16-29,19614.0,50.1,39184.0,27.4,22.7
Age band,30-39,28462.0,56.2,50658.0,32.0,24.2
Age band,40-49,47453.0,62.8,75600.0,35.9,26.9
Age band,50-59,95249.0,66.4,143499.0,37.2,29.2
Age band,60-69,133357.0,70.2,190086.0,39.1,31.1
Ethnicity (broad categories),Black,5579.0,38.6,14465.0,25.1,13.5
Ethnicity (broad categories),Mixed,2583.0,48.3,5346.0,29.6,18.7
Ethnicity (broad categories),Other,3003.0,52.9,5673.0,34.7,18.2
Ethnicity (broad categories),South Asian,17374.0,55.1,31528.0,35.0,20.1
Ethnicity (broad categories),Unknown,65016.0,66.2,98205.0,36.0,30.2
Ethnicity (broad categories),White,230573.0,67.1,343810.0,37.3,29.8
Index of Multiple Deprivation (quintiles),1 Most deprived,68194.0,55.6,122598.0,30.7,24.9
Index of Multiple Deprivation (quintiles),2,66850.0,62.4,107070.0,35.1,27.3
Index of Multiple Deprivation (quintiles),3,68250.0,67.6,100946.0,38.1,29.5
Index of Multiple Deprivation (quintiles),4,61103.0,71.1,85902.0,40.3,30.8
Index of Multiple Deprivation (quintiles),5 Least deprived,52633.0,74.1,71042.0,41.5,32.6
Index of Multiple Deprivation (quintiles),Unknown,7098.0,61.9,11469.0,34.7,27.2
