Category,Group,Vaccinated at 11 Feb (n),vaccinated at 2021-02-04,Vaccinated over last 7d (n),Increase in coverage over last 7d (%)
overall,overall,1434865.0,1207029.0,227836.0,18.9
Sex,F,1011633.0,880159.0,131474.0,14.9
Sex,M,423220.0,326858.0,96362.0,29.5
Age band,16-29,198534.0,181825.0,16709.0,9.2
Age band,30-39,244314.0,225344.0,18970.0,8.4
Age band,40-49,284046.0,260834.0,23212.0,8.9
Age band,50-59,355138.0,322917.0,32221.0,10.0
Age band,60-69,352814.0,216097.0,136717.0,63.3
Ethnicity (broad categories),Black,31787.0,27349.0,4438.0,16.2
Ethnicity (broad categories),Mixed,15386.0,13517.0,1869.0,13.8
Ethnicity (broad categories),Other,22176.0,19306.0,2870.0,14.9
Ethnicity (broad categories),South Asian,100352.0,85022.0,15330.0,18.0
Ethnicity (broad categories),Unknown,306222.0,260715.0,45507.0,17.5
Ethnicity (broad categories),White,958930.0,801101.0,157829.0,19.7
ethnicity 16 groups, African,21154.0,18445.0,2709.0,14.7
ethnicity 16 groups, Bangladeshi or British Bangladeshi,3983.0,3220.0,763.0,23.7
ethnicity 16 groups, Caribbean,5054.0,4158.0,896.0,21.5
ethnicity 16 groups, Chinese,4718.0,4039.0,679.0,16.8
ethnicity 16 groups, Other,17388.0,15225.0,2163.0,14.2
ethnicity 16 groups, Other Asian,26369.0,23296.0,3073.0,13.2
ethnicity 16 groups,British or Mixed British,879263.0,734034.0,145229.0,19.8
ethnicity 16 groups,Indian or British Indian,51758.0,43729.0,8029.0,18.4
ethnicity 16 groups,Irish,7329.0,5950.0,1379.0,23.2
ethnicity 16 groups,Other Black,5544.0,4732.0,812.0,17.2
ethnicity 16 groups,Other White,71512.0,60599.0,10913.0,18.0
ethnicity 16 groups,Other mixed,4991.0,4382.0,609.0,13.9
ethnicity 16 groups,Pakistani or British Pakistani,18130.0,14700.0,3430.0,23.3
ethnicity 16 groups,Unknown,307279.0,261387.0,45892.0,17.6
ethnicity 16 groups,White + Asian,3724.0,3367.0,357.0,10.6
ethnicity 16 groups,White + Black African,3724.0,3241.0,483.0,14.9
ethnicity 16 groups,White + Black Caribbean,2919.0,2520.0,399.0,15.8
Index of Multiple Deprivation (quintiles),1 Most deprived,232253.0,196637.0,35616.0,18.1
Index of Multiple Deprivation (quintiles),2,272181.0,230181.0,42000.0,18.2
Index of Multiple Deprivation (quintiles),3,308378.0,258888.0,49490.0,19.1
Index of Multiple Deprivation (quintiles),4,301595.0,252651.0,48944.0,19.4
Index of Multiple Deprivation (quintiles),5 Least deprived,283528.0,236873.0,46655.0,19.7
Index of Multiple Deprivation (quintiles),Unknown,36918.0,31787.0,5131.0,16.1
BMI,30+,332787.0,273098.0,59689.0,21.9
BMI,under 30,1102059.0,933912.0,168147.0,18.0
Chronic cardiac disease,no,1379896.0,1170225.0,209671.0,17.9
Chronic cardiac disease,yes,54957.0,36792.0,18165.0,49.4
Current COPD,no,1414161.0,1193591.0,220570.0,18.5
Current COPD,yes,20685.0,13426.0,7259.0,54.1
DMARDs,no,1414371.0,1191631.0,222740.0,18.7
DMARDs,yes,20475.0,15379.0,5096.0,33.1
SSRI (last 12 months),no,1226099.0,1024373.0,201726.0,19.7
SSRI (last 12 months),yes,208754.0,182644.0,26110.0,14.3
