obj_type,vpid,snomed_id,bnf_code,dmd_name,bnf_name,form_route
amp,317431008,7311000001104,0105010E0AAAAAA,Sulfasalazine 500mg tablets (A A H Pharmaceuticals Ltd),Sulfasalazine 500mg tablets,tablet.oral
amp,317431008,236111000001102,0105010E0AAAAAA,Sulfasalazine 500mg tablets (Mylan),Sulfasalazine 500mg tablets,tablet.oral
amp,317431008,236511000001106,0105010E0AAAAAA,Sulfasalazine 500mg tablets (Kent Pharmaceuticals Ltd),Sulfasalazine 500mg tablets,tablet.oral
amp,317431008,245311000001106,0105010E0AAAAAA,Sulfasalazine 500mg tablets (Actavis UK Ltd),Sulfasalazine 500mg tablets,tablet.oral
amp,317431008,681011000001104,0105010E0AAAAAA,Sulfasalazine 500mg tablets (Alliance Healthcare (Distribution) Ltd),Sulfasalazine 500mg tablets,tablet.oral
amp,317431008,7036811000001101,0105010E0AAAAAA,Sulfasalazine 500mg tablets (IVAX Pharmaceuticals UK Ltd),Sulfasalazine 500mg tablets,tablet.oral
amp,317431008,10649711000001102,0105010E0AAAAAA,Sulfasalazine 500mg tablets (Teva UK Ltd),Sulfasalazine 500mg tablets,tablet.oral
amp,317431008,11427611000001108,0105010E0AAAAAA,Sulfasalazine 500mg tablets (Almus Pharmaceuticals Ltd),Sulfasalazine 500mg tablets,tablet.oral
amp,317431008,13725511000001102,0105010E0AAAAAA,Sulfasalazine 500mg tablets (Ranbaxy (UK) Ltd),Sulfasalazine 500mg tablets,tablet.oral
amp,317431008,17802411000001105,0105010E0AAAAAA,Sulfasalazine 500mg tablets (Phoenix Healthcare Distribution Ltd),Sulfasalazine 500mg tablets,tablet.oral
amp,317431008,20327211000001107,0105010E0AAAAAA,Sulfasalazine 500mg tablets (Genesis Pharmaceuticals Ltd),Sulfasalazine 500mg tablets,tablet.oral
amp,317431008,21903411000001108,0105010E0AAAAAA,Sulfasalazine 500mg tablets (Waymade Healthcare Plc),Sulfasalazine 500mg tablets,tablet.oral
amp,317431008,28917711000001101,0105010E0AAAAAA,Sulfasalazine 500mg tablets (Crescent Pharma Ltd),Sulfasalazine 500mg tablets,tablet.oral
amp,317431008,30118011000001101,0105010E0AAAAAA,Sulfasalazine 500mg tablets (DE Pharmaceuticals),Sulfasalazine 500mg tablets,tablet.oral
amp,330040008,140911000001101,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
amp,330040008,180711000001106,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets (Kent Pharmaceuticals Ltd),Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
amp,330040008,215611000001109,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets (Actavis UK Ltd),Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
amp,330040008,422811000001105,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
amp,330040008,9104011000001107,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets (Mylan),Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
amp,330040008,15177111000001102,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets (Sigma Pharmaceuticals Plc),Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
amp,330040008,17801611000001102,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd),Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
amp,330040008,21299311000001104,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets (Teva UK Ltd),Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
amp,330040008,21902411000001104,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets (Waymade Healthcare Plc),Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
