CTV3ID,CTV3PreferredTermDesc,CTV3Source
A795.,Coronavirus infection,
A7y00,Coronavirus as cause of dis classified to other chapters,
AyuDC,"[X]Coronavirus infection, unspecified",
X73lE,Coronavirus,
X73lF,Human coronavirus,
Y20fa,Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 (disorder),
Y20fa,Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 (disorder),
Y210b,Infection of upper respiratory tract caused by severe acute respiratory syndrome coronavirus 2 (disorder),
Y211c,Serotype 2019-nCoV (novel coronavirus),
Y228e,Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 confirmed using clinical diagnostic criteria (situation),
Y229c,Coronavirus disease 19 severity score (observable entity),
Y22a4,Assessment using coronavirus disease 19 severity scale (procedure),
Y22a5,Coronavirus disease 19 severity scale (assessment scale),
Y22aa,Signposting to CHMS (COVID-19 Home Management Service) (procedure),
Y246c,"Provision of advice, assessment or treatment delayed due to coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 pandemic (situation)",
